PSO,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23
29,6449.153811,41.44749817,21062.62079,35.00834161,3112799.127,6445.06,1.93677662,-3576.084021,254.9821865,13.95850359,57.43621331,562358.3971,5248446.159,2.479648221,0.005521838,-1.025870625,0.400959597,3.057601934,-3.859997644,-3.223287254,-4.629845403,-5.466107323,-5.463567981
30,6439.842315,40.8095935,20961.96869,34.74777124,3032270.35,6327.3,1.911977816,-3590.238115,254.807013,13.89366187,57.0446592,511476.2945,5021694.55,2.411785836,0.005462637,-1.026579123,0.400693652,3.049330588,-3.860112685,-3.224641464,-4.681744399,-5.541209732,-5.471924121
31,6321.96733,40.34537122,20773.95394,34.63556093,2994795.014,6209.88,1.873463996,-3590.238115,254.7494304,13.85977434,56.56558379,495743.7176,4815567.713,2.396278494,0.005435494,-1.027165355,0.400226015,3.042372524,-3.860252883,-3.225928972,-4.710523052,-5.578579757,-5.531542218
32,6228.313023,40.14537068,20564.46818,34.44824673,2963853.51,6136.96,1.796847529,-3626.195118,254.7494304,13.81080248,55.53615766,481184.7192,4776216.721,2.364294753,0.005416213,-1.027332311,0.399939615,3.040198048,-3.860473708,-3.22799005,-4.712926087,-5.595921209,-5.544775371
33,6212.962144,39.63597992,20478.95719,34.3361888,2922597.699,6079.08,1.75065062,-3630.873356,254.7494304,13.79772145,55.06944433,471623.5566,4681035.832,2.343505988,0.005332448,-1.027448999,0.399724797,3.039647981,-3.860711825,-3.229787419,-4.720036867,-5.599937997,-5.56552056
34,6129.614468,39.25417737,20311.16093,34.19182068,2867655.426,5930.44,1.721097361,-3667.011277,254.7466336,13.73204195,54.69558059,430771.9308,4660707.706,2.091602657,0.005246311,-1.027679962,0.39959954,3.039470263,-3.860874139,-3.23114046,-4.745211758,-5.685439802,-5.585767957
35,6086.754485,38.72146816,20052.02721,34.11815409,2781734.108,5800.72,1.675520472,-3677.122651,254.205134,13.65260809,54.23400333,427085.4396,4468580.899,1.917309184,0.00524631,-1.027933105,0.39933829,3.037028279,-3.860907028,-3.232346183,-4.789338454,-5.790062357,-5.637796588
36,6063.036007,38.57300467,19660.89934,33.99246463,2745133.876,5699.1,1.629596491,-3696.69903,254.116826,13.6168662,53.86529722,409952.3782,4339387.287,1.879672481,0.005222036,-1.028263687,0.399319747,3.036980834,-3.860948635,-3.233778031,-4.805502666,-5.824626115,-5.645878401
37,6005.852878,38.08822432,19573.39701,33.75832592,2685929.313,5681.4,1.607036983,-3723.11219,253.5353999,13.5476654,53.07032975,357928.7006,4220226.921,1.80921161,0.005210017,-1.028264856,0.399306623,3.03548862,-3.860998131,-3.235115674,-4.872528864,-5.885112185,-5.650730981
38,5987.830336,37.87920642,19555.73129,33.65189706,2596507.542,5632.02,1.551528611,-3742.261767,252.6232121,13.51915422,53.01506095,353653.6236,4151770.622,1.781625751,0.005181659,-1.028400475,0.399267226,3.032978329,-3.861106055,-3.236671661,-4.901911256,-5.965189096,-5.743665816
